Customer No.        ;CUSTOMER NAME LTD.
Customer Short Name ;CUSTLTD
Shipment No.        ;SHIP8481M
No. of Items        ;4
Transporter         ;DHL
Transport Date      ;10-11-97
Delivery Date       ;07-12-97
Weight              ;1890 KG

A_NUMS     ;B_NUMS                   ;CUST_NUMS              ;CUST_NUMS_2          ;QTY   ;ORD_ID             ;ITEM_ID      ;C00_ID     ;
0008481A     ;53A710100000        ;                              ;                              ;    63;                              ;11320875  ;C003064  ;
0008481A     ;53A710100000        ;                              ;                              ;   200;                              ;11330926  ;            ;
0008481A     ;53A710158000        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;53A710158000        ;                              ;                              ;    10;                              ;11320875  ;C007673  ;
0008481A     ;53A710158000        ;                              ;                              ;    99;                              ;11388262  ;            ;
0008481A     ;53A710158000        ;                              ;                              ;     1;                              ;11388262  ;            ;
0008481A     ;5QAC02018000        ;                              ;                              ;    58;                              ;11320875  ;C008695  ;
0008481A     ;53AB02014000        ;                              ;                              ;    64;                              ;11388262  ;            ;
0008481A     ;53AB02014000        ;                              ;                              ;    38;                              ;11388262  ;C007685  ;
0008481A     ;5QAB0201G000        ;                              ;                              ;     7;                              ;11388262  ;C007675  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     7;                              ;11320875  ;C008686  ;
0008481A     ;53AB0301G000        ;                              ;                              ;   132;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;     5;                              ;11388262  ;C008697  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    88;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    33;                              ;11388262  ;C007692  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     3;                              ;11388262  ;C007692  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    30;                              ;11320875  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    60;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;     1;                              ;11388262  ;C007688  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    44;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    41;                              ;11388262  ;C007689  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     2;                              ;11388262  ;C007688  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     9;                              ;11388262  ;C007694  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     1;                              ;11388262  ;C007694  ;
0008481A     ;53AB0801G000        ;                              ;                              ;    15;                              ;11320875  ;C008684  ;
0008481A     ;53AB0601G000        ;                              ;                              ;    20;                              ;11388262  ;C007693  ;
0008481A     ;53AB03015G00        ;                              ;                              ;    25;                              ;11320875  ;C003067  ;
0008481A     ;53AB03015G00        ;                              ;                              ;    30;                              ;11320875  ;            ;
0008481A     ;53AB03015G00        ;                              ;                              ;   150;                              ;11380178  ;            ;
0008481A     ;53AB03015G00        ;                              ;                              ;    17;                              ;11320875  ;C003068  ;
0008481A     ;53AB03015G00        ;                              ;                              ;    30;                              ;11330926  ;            ;
0008481A     ;53AB12315G00        ;                              ;                              ;     1;                              ;11320875  ;C008686  ;
0008481A     ;53AB12315G00        ;                              ;                              ;     1;                              ;11320875  ;C008684  ;
0008481A     ;53AB12315G00        ;                              ;                              ;    24;                              ;11388262  ;            ;
0008481A     ;53AB12315G00        ;                              ;                              ;    56;                              ;11380178  ;            ;
0008481A     ;53AB12315G00        ;                              ;                              ;    11;                              ;11388262  ;C007675  ;
0008481A     ;53AB18915G00        ;                              ;                              ;    28;                              ;11388262  ;            ;
0008481A     ;53AB18915G00        ;                              ;                              ;     6;                              ;11388262  ;C007682  ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;    12;                              ;11320875  ;C007676  ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;     7;                              ;11320875  ;C008689  ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;     6;                              ;11320875  ;C008690  ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;    14;                              ;11388262  ;C008691  ;
0008481A     ;53P0G425CG40        ;                              ;                              ;    11;                              ;11320875  ;C003069  ;
0008481A     ;53P0G425CG40        ;                              ;                              ;    56;                              ;11380178  ;            ;
0008481A     ;53P0G425CG40        ;                              ;                              ;    24;                              ;11388262  ;            ;
0008481A     ;53P0G425CG40        ;                              ;                              ;     7;                              ;11388262  ;C007682  ;
0008481A     ;53P0G425CG40        ;                              ;                              ;     8;                              ;11320875  ;C003063  ;
0008481A     ;53P0G425CG40        ;                              ;                              ;    98;                              ;11320875  ;            ;
0008481A     ;53P0G425CG40        ;                              ;                              ;    28;                              ;11380178  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;     5;                              ;11388262  ;C007694  ;
0008481A     ;53P00505CG40        ;                              ;                              ;     3;                              ;11320875  ;C008690  ;
0008481A     ;53P00505CG40        ;                              ;                              ;     1;                              ;11320875  ;C008685  ;
0008481A     ;53P00505CG40        ;                              ;                              ;    12;                              ;11388262  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;53P0502GCG40        ;                              ;                              ;     6;                              ;11320875  ;C007690  ;
0008481A     ;53P0502GCG40        ;                              ;                              ;    23;                              ;11388262  ;            ;
0008481A     ;53P0502GCG40        ;                              ;                              ;     1;                              ;11388262  ;C007688  ;
0008481A     ;53P0502GCG40        ;                              ;                              ;     1;                              ;11388262  ;            ;
0008481A     ;53P0502GCG40        ;                              ;                              ;    24;                              ;11380178  ;            ;
0008481A     ;53P0502GCG40        ;                              ;                              ;     7;                              ;11320875  ;C007683  ;
0008481A     ;53P0502GCG40        ;                              ;                              ;     2;                              ;11320875  ;C007683  ;
0008481A     ;53P0502GCG40        ;                              ;                              ;    16;                              ;11388262  ;C007672  ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     4;                              ;11320875  ;C007677  ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     2;                              ;11320875  ;C008685  ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     7;                              ;11388262  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;    21;                              ;11330926  ;            ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     4;                              ;11320875  ;C007680  ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;    10;                              ;11388262  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;     3;                              ;11320875  ;C003066  ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     7;                              ;11330926  ;            ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;     7;                              ;11320875  ;            ;
0008481A     ;53P16Z2GCG40        ;                              ;                              ;    49;                              ;11380178  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;    12;                              ;11388262  ;C007691  ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;    14;                              ;11388262  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;    10;                              ;11388262  ;C007695  ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     5;                              ;11330926  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;     2;                              ;11320875  ;C007674  ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     5;                              ;11320875  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     5;                              ;11380178  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     2;                              ;11320875  ;C007674  ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     5;                              ;11388262  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     5;                              ;11330926  ;            ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     1;                              ;11388262  ;C008697  ;
0008481A     ;53PKCG2GCG40        ;                              ;                              ;     4;                              ;11388262  ;C008699  ;
0008481A     ;53P65G2GCG40        ;                              ;                              ;    10;                              ;11330926  ;            ;
0008481A     ;53P65G2GCG40        ;                              ;                              ;    10;                              ;11330926  ;            ;
0008481A     ;53P21G2GCG40        ;                              ;                              ;     3;                              ;11320875  ;C008688  ;
0008481A     ;53P21G2GCG40        ;                              ;                              ;     1;                              ;11320875  ;C008690  ;
0008481A     ;53P21G2GCG40        ;                              ;                              ;     1;                              ;11320875  ;C008688  ;
0008481A     ;53P21G2GCG40        ;                              ;                              ;    10;                              ;11330926  ;            ;
0008481A     ;53P87G2GCG40        ;                              ;                              ;     3;                              ;11320875  ;C003063  ;
0008481A     ;53P87G2GCG40        ;                              ;                              ;     5;                              ;11320875  ;            ;
0008481A     ;53P87G2GCG40        ;                              ;                              ;    15;                              ;11380178  ;            ;
0008481A     ;53P87G2GCG40        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;53P87G2GCG40        ;                              ;                              ;     5;                              ;11388262  ;            ;
0008481A     ;53P8103TCG40        ;                              ;                              ;     2;                              ;11320875  ;C008689  ;
0008481A     ;53P8103TCG40        ;                              ;                              ;     5;                              ;11388262  ;            ;
0008481A     ;53P81065CG40        ;                              ;                              ;     3;                              ;11388262  ;C007687  ;
0008481A     ;53P81065CG40        ;                              ;                              ;     5;                              ;11380178  ;            ;
0008481A     ;53P81065CG40        ;                              ;                              ;     4;                              ;11388262  ;C007679  ;
0008481A     ;53P81HL5CG40        ;                              ;                              ;     1;                              ;11320875  ;C003066  ;
0008481A     ;53P81089CG40        ;                              ;                              ;     5;                              ;11320875  ;            ;
0008481A     ;53P81089CG40        ;                              ;                              ;    20;                              ;11380178  ;            ;
0008481A     ;53P81089CG40        ;                              ;                              ;     3;                              ;11388262  ;C007696  ;
0008481A     ;53P81089CG40        ;                              ;                              ;     3;                              ;11320875  ;C008694  ;
0008481A     ;53P81089CG40        ;                              ;                              ;     6;                              ;11330926  ;            ;
0008481A     ;53P1GA25CG40        ;                              ;                              ;     3;                              ;11320875  ;C008694  ;
0008481A     ;53P19025CG40        ;                              ;                              ;     5;                              ;11320875  ;            ;
0008481A     ;53P19025CG40        ;                              ;                              ;     1;                              ;11320875  ;            ;
0008481A     ;53P19025CG40        ;                              ;                              ;     3;                              ;11388262  ;            ;
0008481A     ;53P11285CG40        ;                              ;                              ;     4;                              ;11388262  ;C008698  ;
0008481A     ;53P11285CG40        ;                              ;                              ;     1;                              ;11388262  ;C008697  ;
0008481A     ;53P11254CG40        ;                              ;                              ;     1;                              ;11320875  ;C008686  ;
0008481A     ;53P11285CG40        ;                              ;                              ;     4;                              ;11320875  ;C008693  ;
0008481A     ;53P11285CG40        ;                              ;                              ;     5;                              ;11330926  ;            ;
0008481A     ;53P11285CG40        ;                              ;                              ;     1;                              ;11320875  ;C003064  ;
0008481A     ;53P11285CG40        ;                              ;                              ;    79;                              ;11320875  ;C003065  ;
0008481A     ;53P11285CG40        ;                              ;                              ;    99;                              ;11330926  ;            ;
0008481A     ;53P11285CG40        ;                              ;                              ;     1;                              ;11330926  ;            ;
0008481A     ;53P11285CG40        ;                              ;                              ;    30;                              ;11320875  ;C007681  ;
0008481A     ;53P11285CG40        ;                              ;                              ;     1;                              ;11320875  ;C007681  ;
0008481A     ;53P11254CG40        ;                              ;                              ;    60;                              ;11320875  ;C008687  ;
0008481A     ;53P11254CG40        ;                              ;                              ;    56;                              ;11320875  ;C008692  ;
0008481A     ;53P11254CG40        ;                              ;                              ;     4;                              ;11320875  ;C008690  ;
0008481A     ;53P11254CG40        ;                              ;                              ;     4;                              ;11320875  ;C008685  ;
0008481A     ;53P11254CG40        ;                              ;                              ;     3;                              ;11320875  ;C008685  ;
0008481A     ;53P11254CG40        ;                              ;                              ;    64;                              ;11388262  ;            ;
0008481A     ;53P11254CG40        ;                              ;                              ;     5;                              ;11320875  ;C007673  ;
0008481A     ;53P11254CG40        ;                              ;                              ;    13;                              ;11320875  ;C003069  ;
0008481A     ;53P11254CG40        ;                              ;                              ;   100;                              ;11330926  ;            ;
0008481A     ;53P11304CG40        ;                              ;                              ;     8;                              ;11320875  ;C007676  ;
0008481A     ;53P11304CG40        ;                              ;                              ;    44;                              ;11388262  ;            ;
0008481A     ;53P16CG4CG40        ;                              ;                              ;    25;                              ;11320875  ;C008696  ;
0008481A     ;53PRAG94CG40        ;                              ;                              ;     2;                              ;11320875  ;C007674  ;
0008481A     ;5335CG94CG40        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;5335CG94CG40        ;                              ;                              ;    14;                              ;11388262  ;            ;
0008481A     ;5335CG917017        ;                              ;                              ;     4;                              ;11320875  ;C003066  ;
0008481A     ;5335CG917017        ;                              ;                              ;     2;                              ;11320875  ;C003064  ;
0008481A     ;5335CG917017        ;                              ;                              ;    12;                              ;11320875  ;            ;
0008481A     ;5335CG917017        ;                              ;                              ;    18;                              ;11320875  ;C003062  ;
0008481A     ;5335CG917017        ;                              ;                              ;     3;                              ;11320875  ;            ;
0008481A     ;5335CG917017        ;                              ;                              ;    90;                              ;11380178  ;            ;
0008481A     ;5335CG911140        ;                              ;                              ;     4;                              ;11320875  ;C008685  ;
0008481A     ;53AB18917017        ;                              ;                              ;     3;                              ;11388262  ;C007686  ;
0008481A     ;53AB18917017        ;                              ;                              ;     2;                              ;11388262  ;C007686  ;
0009057B     ;53AB18916206        ;                              ;                              ;    24;                              ;11320875  ;C008684  ;
0009057B     ;53AB18916206        ;                              ;                              ;    10;                              ;11320875  ;C007673  ;
0009057B     ;53AB0301G000        ;                              ;                              ;     1;                              ;11388262  ;C007688  ;
